Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,84.1 ± 11.4,8.0 ± 9.6,7.9 ± 10.3,3.7 ± 5.9,128.3 ± 18.4,26.6 ± 8.5,3.15 ± 5.81,2.31 ± 1.58
Deterministic Mpc,77.9 ± 18.7,15.6 ± 17.2,6.5 ± 7.5,10.0 ± 14.9,118.9 ± 20.4,34.6 ± 18.2,13.96 ± 27.76,1.99 ± 1.21
Pid,73.7 ± 15.9,14.2 ± 13.1,12.1 ± 8.0,6.0 ± 8.8,120.2 ± 13.0,37.6 ± 12.2,4.46 ± 6.60,2.52 ± 1.11
