Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,93.9 ± 7.0,1.0 ± 2.4,5.1 ± 7.0,0.2 ± 0.8,140.4 ± 10.1,16.4 ± 4.2,0.29 ± 0.49,2.55 ± 1.07
Deterministic Mpc,93.7 ± 7.9,1.0 ± 2.5,5.3 ± 7.6,0.2 ± 1.0,139.8 ± 9.6,16.9 ± 4.6,0.31 ± 0.52,2.52 ± 1.03
Pid,59.1 ± 11.5,0.1 ± 0.6,40.7 ± 11.5,0.0 ± 0.0,170.5 ± 15.0,25.3 ± 3.9,0.09 ± 0.14,7.65 ± 2.61
