Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,95.0 ± 5.5,1.9 ± 3.1,3.2 ± 5.2,0.5 ± 1.4,134.4 ± 8.4,17.4 ± 4.5,0.49 ± 0.70,1.95 ± 0.83
Deterministic Mpc,95.2 ± 5.1,1.7 ± 2.9,3.0 ± 4.9,0.4 ± 1.4,134.2 ± 8.4,17.4 ± 4.4,0.48 ± 0.68,1.93 ± 0.81
Pid,65.3 ± 13.3,0.5 ± 1.4,34.1 ± 13.3,0.0 ± 0.1,160.0 ± 15.4,26.4 ± 4.7,0.21 ± 0.26,6.18 ± 2.56
