Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,94.5 ± 7.5,0.1 ± 0.3,5.4 ± 7.5,0.0 ± 0.0,143.1 ± 9.8,14.4 ± 3.5,0.09 ± 0.15,2.71 ± 1.12
Deterministic Mpc,94.4 ± 8.0,0.1 ± 0.2,5.6 ± 8.0,0.0 ± 0.0,142.7 ± 9.2,14.8 ± 4.0,0.10 ± 0.16,2.69 ± 1.08
Pid,58.7 ± 12.4,0.0 ± 0.0,41.3 ± 12.4,0.0 ± 0.0,174.6 ± 15.2,22.1 ± 3.8,0.01 ± 0.02,7.93 ± 2.71
