Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,86.0 ± 10.8,2.8 ± 4.5,11.2 ± 9.3,0.9 ± 2.2,141.3 ± 10.4,22.0 ± 6.8,0.72 ± 1.12,3.16 ± 1.27
Deterministic Mpc,85.4 ± 11.5,3.0 ± 4.8,11.6 ± 9.7,1.2 ± 2.7,141.1 ± 10.1,22.6 ± 7.0,0.83 ± 1.33,3.19 ± 1.30
Pid,59.7 ± 12.4,0.5 ± 1.7,39.7 ± 12.5,0.0 ± 0.0,172.5 ± 17.1,28.7 ± 7.3,0.18 ± 0.34,8.38 ± 3.06
