variant,scenario,patient_id,controller_type,TIR,TBR,Time_below_54,Mean_glucose,CV,LBGI
SMPC full,variable,0,stochastic_mpc,89.23611111111111,10.76388888888889,7.291666666666667,110.98843716519963,29.57486574400587,4.495608633050391
SMPC full,variable,1,stochastic_mpc,68.05555555555556,22.22222222222222,9.722222222222223,109.60826393353676,44.97760487581344,11.4453795746892
SMPC full,variable,2,stochastic_mpc,77.08333333333334,0.0,0.0,144.5221227507524,25.766577146207506,0.3215820766443493
SMPC full,variable,3,stochastic_mpc,96.52777777777779,0.0,0.0,137.83755545692344,15.749487018260224,0.03187963196258203
SMPC full,variable,4,stochastic_mpc,77.77777777777779,15.277777777777779,5.208333333333334,123.46500621704078,31.412767645383425,2.8431263912962588
SMPC full,variable,5,stochastic_mpc,89.23611111111111,10.76388888888889,7.291666666666667,115.09707014273545,25.72900812548015,3.6846522901854675
SMPC full,variable,6,stochastic_mpc,93.05555555555556,0.0,0.0,149.22718929718533,14.058927391705282,0.0018727931011127557
SMPC full,variable,7,stochastic_mpc,86.11111111111111,0.0,0.0,147.35628554785768,17.09524522232429,0.001781249213411844
SMPC full,variable,8,stochastic_mpc,89.58333333333334,0.0,0.0,144.048080555847,17.549055287527352,0.00046504615199220094
SMPC full,variable,9,stochastic_mpc,82.98611111111111,17.01388888888889,14.583333333333334,103.49302197307924,37.08153723415216,13.907214099318411
SMPC full,variable,10,stochastic_mpc,98.26388888888889,0.3472222222222222,0.0,133.20027712910093,20.636697185539294,0.39887910632266
SMPC full,variable,11,stochastic_mpc,55.55555555555556,31.25,20.48611111111111,111.82815005223155,51.87151200291279,12.352224130556113
SMPC full,variable,12,stochastic_mpc,92.36111111111111,7.638888888888889,3.125,110.74106188227978,22.841595719432778,2.006283892293059
SMPC full,variable,13,stochastic_mpc,83.68055555555556,6.944444444444445,0.3472222222222222,132.22356270416472,29.531291425571006,1.384372599918352
SMPC full,variable,14,stochastic_mpc,90.27777777777779,9.722222222222223,7.291666666666667,114.90915602800727,27.145277865729454,4.563889546090186
SMPC full,variable,15,stochastic_mpc,65.27777777777779,24.305555555555554,12.5,114.4897967608317,43.13440885034439,7.961480467728468
SMPC full,variable,16,stochastic_mpc,98.95833333333334,0.3472222222222222,0.0,123.34930288864751,23.170141509120896,0.5926248463093078
SMPC full,variable,17,stochastic_mpc,75.0,0.6944444444444444,0.0,144.17506883063618,27.63385310571097,0.5734693792051212
SMPC full,variable,18,stochastic_mpc,98.61111111111111,0.0,0.0,112.82213293559482,23.718827306696983,0.867345488553704
SMPC full,variable,19,stochastic_mpc,93.75,0.0,0.0,128.46997318015767,21.860375525191138,0.15517572732377782
SMPC no variance penalty,variable,0,stochastic_mpc,89.23611111111111,10.76388888888889,7.291666666666667,112.36074210529745,28.056691519761145,4.28348362110889
SMPC no variance penalty,variable,1,stochastic_mpc,68.05555555555556,22.22222222222222,9.722222222222223,109.60826393353676,44.97760487581344,11.4453795746892
SMPC no variance penalty,variable,2,stochastic_mpc,77.08333333333334,0.0,0.0,144.5221227507524,25.766577146207506,0.3215820766443493
SMPC no variance penalty,variable,3,stochastic_mpc,96.52777777777779,0.0,0.0,137.83755545692344,15.749487018260224,0.03187963196258203
SMPC no variance penalty,variable,4,stochastic_mpc,77.77777777777779,15.277777777777779,5.208333333333334,123.46500621704078,31.412767645383425,2.8431263912962588
SMPC no variance penalty,variable,5,stochastic_mpc,89.23611111111111,10.76388888888889,7.291666666666667,115.09707014273545,25.72900812548015,3.6846522901854675
SMPC no variance penalty,variable,6,stochastic_mpc,93.05555555555556,0.0,0.0,149.22718929718533,14.058927391705282,0.0018727931011127557
SMPC no variance penalty,variable,7,stochastic_mpc,86.11111111111111,0.0,0.0,147.35628554785768,17.09524522232429,0.001781249213411844
SMPC no variance penalty,variable,8,stochastic_mpc,89.58333333333334,0.0,0.0,144.048080555847,17.549055287527352,0.00046504615199220094
SMPC no variance penalty,variable,9,stochastic_mpc,82.98611111111111,17.01388888888889,14.583333333333334,103.49302197307924,37.08153723415216,13.907214099318411
SMPC no variance penalty,variable,10,stochastic_mpc,98.26388888888889,0.3472222222222222,0.0,133.20027712910093,20.636697185539294,0.39887910632266
SMPC no variance penalty,variable,11,stochastic_mpc,55.55555555555556,31.25,20.48611111111111,111.82815005223155,51.87151200291279,12.352224130556113
SMPC no variance penalty,variable,12,stochastic_mpc,92.36111111111111,7.638888888888889,3.125,110.74106188227978,22.841595719432778,2.006283892293059
SMPC no variance penalty,variable,13,stochastic_mpc,83.68055555555556,6.944444444444445,0.3472222222222222,132.22356270416472,29.531291425571006,1.384372599918352
SMPC no variance penalty,variable,14,stochastic_mpc,90.27777777777779,9.722222222222223,7.291666666666667,114.90915602800727,27.145277865729454,4.563889546090186
SMPC no variance penalty,variable,15,stochastic_mpc,65.27777777777779,24.305555555555554,12.5,114.4897967608317,43.13440885034439,7.961480467728468
SMPC no variance penalty,variable,16,stochastic_mpc,98.95833333333334,0.3472222222222222,0.0,123.34930288864751,23.170141509120896,0.5926248463093078
SMPC no variance penalty,variable,17,stochastic_mpc,75.0,0.6944444444444444,0.0,144.17506883063618,27.63385310571097,0.5734693792051212
SMPC no variance penalty,variable,18,stochastic_mpc,98.61111111111111,0.0,0.0,112.82213293559482,23.718827306696983,0.867345488553704
SMPC no variance penalty,variable,19,stochastic_mpc,93.75,0.0,0.0,128.46997318015767,21.860375525191138,0.15517572732377782
SMPC no chance tightening,variable,0,stochastic_mpc,89.23611111111111,10.76388888888889,7.638888888888889,113.61935835118827,28.299512191455776,4.5844292122881285
SMPC no chance tightening,variable,1,stochastic_mpc,67.01388888888889,23.26388888888889,9.722222222222223,107.99242579839067,45.05647818849275,10.877323590574562
SMPC no chance tightening,variable,2,stochastic_mpc,76.38888888888889,0.0,0.0,144.0097967049819,26.15316176646521,0.2868695800333369
