Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,86.9 ± 9.8,5.4 ± 7.2,7.7 ± 10.2,1.8 ± 3.7,131.0 ± 16.9,23.6 ± 5.9,1.43 ± 1.93,2.33 ± 1.55
Deterministic Mpc,81.1 ± 18.1,12.2 ± 16.8,6.7 ± 8.9,8.0 ± 15.8,122.6 ± 21.1,31.1 ± 19.0,10.60 ± 26.77,2.04 ± 1.26
Pid,82.5 ± 13.8,7.8 ± 11.4,9.8 ± 7.3,2.3 ± 6.0,123.4 ± 11.9,29.5 ± 11.2,1.97 ± 2.60,2.12 ± 0.91
