Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,86.2 ± 10.6,6.6 ± 9.5,7.1 ± 9.5,2.6 ± 4.8,129.3 ± 18.1,24.6 ± 7.1,2.39 ± 4.36,2.24 ± 1.53
Deterministic Mpc,80.4 ± 18.3,13.2 ± 17.2,6.4 ± 8.5,9.3 ± 16.0,120.7 ± 21.4,32.7 ± 20.1,15.51 ± 34.38,1.95 ± 1.22
Pid,80.2 ± 15.9,10.5 ± 13.6,9.3 ± 7.2,3.6 ± 8.2,119.8 ± 12.2,31.5 ± 11.6,2.61 ± 3.30,1.96 ± 0.86
