Controller,TIR (%),TBR (%),TAR (%),Time <54 (%),Mean Glucose (mg/dL),CV (%),LBGI,HBGI
Stochastic Mpc,88.0 ± 9.7,3.9 ± 5.1,8.1 ± 8.6,1.5 ± 3.2,134.2 ± 9.6,23.5 ± 7.1,1.14 ± 1.54,2.50 ± 1.08
Deterministic Mpc,87.1 ± 12.6,5.2 ± 9.9,7.7 ± 8.5,2.7 ± 8.0,132.4 ± 12.1,24.9 ± 10.9,2.71 ± 11.08,2.41 ± 1.00
Pid,65.3 ± 13.8,1.4 ± 3.2,33.3 ± 13.4,0.3 ± 1.2,162.0 ± 16.2,29.8 ± 7.8,0.42 ± 0.60,6.89 ± 2.84
