metric,wilcoxon_stat,p_value,mean_difference,ci95_low,ci95_high,rank_biserial
TBR,734.5,8.00272217578581e-08,-6.791666666666668,-9.98967013888889,-4.062413194444444,0.7091089108910891
LBGI,1109.0,5.617649759645379e-07,-9.169324092669829,-14.592484969801651,-4.340803048264001,0.5607920792079208
